,id_review,review_clean_cased,review_low_uncased,review,attractions,amenities,access,price,no_aspect,attractions_text,amenities_text,access_text,price_text,no_aspect_text
0,0AV0mU6Ah4sD7RW2nv0oq6Di3Xk1Xc,Pernah kesini waktu SD dulu lokasi nya real mantap dehh candi mantap banget megah dan luas apalagi ada satu patung yang dianggap sakral banget boleh dicoba tuh kawan,pernah kesini waktu sd dulu lokasi nya real mantap dehh candi mantap banget megah dan luas apalagi ada satu patung yang dianggap sakral banget boleh dicoba tuh kawan,"Pernah kesini waktu SD dulu lokasi nya real mantap dehh,candi mantap banget,megah dan luas,apalagi ada satu patung yang dianggap sakral banget,boleh dicoba tuh kawan",3,0,0,0,3,"Pernah kesini waktu SD dulu lokasi nya real mantap dehh,candi mantap banget,megah dan luas,apalagi ada satu patung yang dianggap sakral banget, Pernah kesini waktu SD dulu lokasi nya real mantap dehh,candi mantap banget,megah dan luas,apalagi ada satu patung yang dianggap sakral banget,boleh dicoba tuh kawan. Pernah kesini waktu SD dulu lokasi nya real mantap dehh,candi mantap banget,megah dan luas,apalagi ada satu patung yang dianggap sakral banget,boleh dicoba tuh kawan.",none,none,none,boleh dicoba tuh kawan boleh dicoba tuh kawan boleh dicoba tuh kawan
1,0De9jM9LB3gz7jp0Uo2Wm5oO0cJ3Gn,Disini pas banget buat piknik bareng keluarga besar sambil belajar sejarah Tempatnya sejuk dan sangat nyaman,disini pas banget buat piknik bareng keluarga besar sambil belajar sejarah tempatnya sejuk dan sangat nyaman,Disini pas banget buat piknik bareng keluarga besar sambil belajar sejarah. Tempatnya sejuk dan sangat nyaman,3,0,0,0,3,Tempatnya sejuk dan sangat nyaman Tempatnya sejuk dan sangat nyaman,none,none,none,Disini pas banget buat piknik bareng keluarga besar sambil belajar sejarah Disini pas banget buat piknik bareng keluarga besar sambil belajar sejarah. Tempatnya sejuk dan sangat nyaman Disini pas banget buat piknik bareng keluarga besar sambil belajar sejarah.
2,0EZ7BP9hm1uE7CO9cV7gJ8XX8Fs4aD,Sudah beberapa kali ke Candi Borobudur Tempatnya bersih terpeihara dilihat dari area candinya yang tidak terdapat sampah,sudah beberapa kali ke candi borobudur tempatnya bersih terpeihara dilihat dari area candinya yang tidak terdapat sampah,"Sudah beberapa kali ke Candi Borobudur. Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah",3,3,0,0,0,"Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah","Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah Tempatnya bersih, terpeihara dilihat dari area candinya yang tidak terdapat sampah",none,none,none
3,0Hd8XX7Ag5SZ6OA2PE9Wj1bh8FD5tG,Salah satu tujuan utama ke Yogyakarta adalah ke Candi Borobudur Tempat yang indah dan menakjubkan sedia ojek payung agar tidak kepanasan ,salah satu tujuan utama ke yogyakarta adalah ke candi borobudur tempat yang indah dan menakjubkan sedia ojek payung agar tidak kepanasan ,Salah satu tujuan utama ke Yogyakarta adalah ke Candi Borobudur. Tempat yang indah dan menakjubkan. sedia ojek payung agar tidak kepanasan.,3,0,3,0,2,Tempat yang indah dan menakjubkan. Salah satu tujuan utama ke Yogyakarta adalah ke Candi Borobudur. Tempat yang indah dan menakjubkan Tempat yang indah dan menakjubkan.,none,sedia ojek payung agar tidak kepanasan. sedia ojek payung agar tidak kepanasan. sedia ojek payung agar tidak kepanasan.,none,Salah satu tujuan utama ke Yogyakarta adalah ke Candi Borobudur;sedia ojek payung agar tidak kepanasan.
4,0Hi1ad3Jw4ui8gm0Th1xT1EP8Um7xj,Waktu yang tepat untuk mengunjungi borobudur adalah sore hari karena saat siang hari panasnya sangat menyiksa tetapi tenang saja banyak yang menyediakan penyewaan payung ,waktu yang tepat untuk mengunjungi borobudur adalah sore hari karena saat siang hari panasnya sangat menyiksa tetapi tenang saja banyak yang menyediakan penyewaan payung ,"Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung.",0,3,0,0,2,none,"Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung. Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung. Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung.",none,none,"Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung. Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung. Waktu yang tepat untuk mengunjungi borobudur adalah sore hari, karena saat siang hari panasnya sangat menyiksa, tetapi tenang saja banyak yang menyediakan penyewaan payung."
5,0IN9FC9FL3kl4IC6ZJ2Ll1Ll8sT8GQ,Jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai Borobudur Dan siap siap untuk naik turun tangga Sunrise sangat cocok Siap siap utk mengambil foto yang instagramable ,jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai borobudur dan siap siap untuk naik turun tangga sunrise sangat cocok siap siap utk mengambil foto yang instagramable ,Jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai Borobudur. Dan siap-siap untuk naik-turun tangga. Sunrise sangat cocok. Siap-siap utk mengambil foto yang instagramable.,3,3,2,0,0,Sunrise sangat cocok. Siap-siap utk mengambil foto yang instagramable. Sunrise sangat cocok. Siap-siap utk mengambil foto yang instagramable. Sunrise sangat cocok. Siap-siap utk mengambil foto yang instagramable.,Jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai Borobudur. Jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai Borobudur. Jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai Borobudur.,Dan siap-siap untuk naik-turun tangga. Dan siap-siap untuk naik-turun tangga. Dan siap-siap untuk naik-turun tangga.,none,none
6,0Jb8Ew2EE8wL0TL0cx7yQ3IO1eO6JO,Borobudur berjarak lk km dari jl Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia kebanyakan para pengunjung akan mengabil waktu pada saat sunrise matahari terbit klo ngga salah candi borobudur waktu operasional di sini mulai pkl wib s d wib Perubahan serta perbaikan peraturan di area komplek candi oleh management pengelola membuat candi ini semakin bagus bersih dan tertata rapi salah satu perubahan yg berarti adalah LARANGAN MEROKOK di area candi membuat hawa semakin segar bebas asap rokok Yg harus dibawa Kacamata hitam Sunblock Topi Air minum Jika waktu memungkinkan Disarankan untuk membeli tiket terusan borobudur dan prambanan untuk wisatawan yg menggunakan sepeda motor bisa di parkir sebelum masuk area candi borobudur dengan harga tiket parkir ,borobudur berjarak lk km dari jl malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia kebanyakan para pengunjung akan mengabil waktu pada saat sunrise matahari terbit klo ngga salah candi borobudur waktu operasional di sini mulai pkl wib s d wib perubahan serta perbaikan peraturan di area komplek candi oleh management pengelola membuat candi ini semakin bagus bersih dan tertata rapi salah satu perubahan yg berarti adalah larangan merokok di area candi membuat hawa semakin segar bebas asap rokok yg harus dibawa kacamata hitam sunblock topi air minum jika waktu memungkinkan disarankan untuk membeli tiket terusan borobudur dan prambanan untuk wisatawan yg menggunakan sepeda motor bisa di parkir sebelum masuk area candi borobudur dengan harga tiket parkir ,"Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia, kebanyakan para pengunjung akan mengabil waktu pada saat sunrise ( matahari terbit ),klo ngga salah candi borobudur waktu operasional di sini mulai pkl. 06.00 wib s/d 18.00 wib.
Perubahan serta perbaikan peraturan di area komplek candi oleh management / pengelola membuat candi ini semakin bagus, bersih, dan tertata rapi. salah satu perubahan yg berarti adalah LARANGAN MEROKOK di area candi, membuat hawa semakin segar bebas asap rokok.

Yg harus dibawa :
1. Kacamata hitam
2. Sunblock
3. Topi
4. Air minum

Jika waktu memungkinkan Disarankan untuk membeli tiket terusan ( borobudur dan prambanan), untuk wisatawan yg menggunakan sepeda motor bisa di parkir sebelum masuk area candi borobudur dengan harga tiket parkir 5k.
",3,3,0,0,2,"Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia;erubahan serta perbaikan peraturan di area komplek candi oleh management / pengelola membuat candi ini semakin bagus, bersih, dan tertata rapi. Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia;erubahan serta perbaikan peraturan di area komplek candi oleh management / pengelola membuat candi ini semakin bagus, bersih, dan tertata rapi. Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia;erubahan serta perbaikan peraturan di area komplek candi oleh management / pengelola membuat candi ini semakin bagus, bersih, dan tertata rapi.","candi ini semakin bagus, bersih, dan tertata rapi. candi ini semakin bagus, bersih, dan tertata rapi. candi ini semakin bagus, bersih, dan tertata rapi.",none,none,"Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia, kebanyakan para pengunjung akan mengabil waktu pada saat sunrise ( matahari terbit ),klo ngga salah candi borobudur waktu operasional di sini mulai pkl. 06.00 wib s/d 18.00 wib. Perubahan serta perbaikan peraturan di area komplek candi oleh management / pengelola membuat candi ini semakin bagus, bersih, dan tertata rapi. salah satu perubahan yg berarti adalah LARANGAN MEROKOK di area candi, membuat hawa semakin segar bebas asap rokok. Yg harus dibawa : 1. Kacamata hitam 2. Sunblock 3. Topi 4. Air minum Jika waktu memungkinkan Disarankan untuk membeli tiket terusan ( borobudur dan prambanan), untuk wisatawan yg menggunakan sepeda motor bisa di parkir sebelum masuk area candi borobudur dengan harga tiket parkir 5k. Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia, kebanyakan para pengunjung akan mengabil waktu pada saat sunrise ( matahari terbit ),klo ngga salah candi borobudur waktu operasional di sini mulai pkl. 06.00 wib s/d 18.00 wib."
7,0KS6pf8YO1nc7qt0Vh7th2ep8yC7zp,Candi yg terkenal di yogyakarta dan menjadi sejarah bagus untuk menambah wawasan sejarah dengan segala keunikan ,candi yg terkenal di yogyakarta dan menjadi sejarah bagus untuk menambah wawasan sejarah dengan segala keunikan ,Candi yg terkenal di yogyakarta dan menjadi sejarah... bagus untuk menambah wawasan sejarah dengan segala keunikan ...,3,0,0,0,0,Candi yg terkenal di yogyakarta dan menjadi sejarah... bagus untuk menambah wawasan sejarah dengan segala keunikan ... Candi yg terkenal di yogyakarta dan menjadi sejarah... bagus untuk menambah wawasan sejarah dengan segala keunikan ...,none,none,none,none
8,0Mi1Iv1BV0KB1Dj7ZP5hL0PA2Gm6zK,candi yang sangat besar dan dikelilingi oleh pemandangan yang menarik selain itu banyak sekali kegiatan disekitar borobudur yang dapat dilihat datang saat pagi hari atau sore hari agar mendapat suasana yang baik,candi yang sangat besar dan dikelilingi oleh pemandangan yang menarik selain itu banyak sekali kegiatan disekitar borobudur yang dapat dilihat datang saat pagi hari atau sore hari agar mendapat suasana yang baik,candi yang sangat besar dan dikelilingi oleh pemandangan yang menarik. selain itu banyak sekali kegiatan disekitar borobudur yang dapat dilihat. datang saat pagi hari atau sore hari agar mendapat suasana yang baik,3,0,0,0,3,candi yang sangat besar dan dikelilingi oleh pemandangan yang menarik; selain itu banyak sekali kegiatan disekitar borobudur yang dapat dilihat; datang saat pagi hari atau sore hari agar mendapat suasana yang baik candi yang sangat besar dan dikelilingi oleh pemandangan yang menarik. selain itu banyak sekali kegiatan disekitar borobudur yang dapat dilihat. datang saat pagi hari atau sore hari agar mendapat suasana yang baik candi yang sangat besar dan dikelilingi oleh pemandangan yang menarik. selain itu banyak sekali kegiatan disekitar borobudur yang dapat dilihat.,none,none,none,datang saat pagi hari atau sore hari agar mendapat suasana yang baik datang saat pagi hari atau sore hari agar mendapat suasana yang baik datang saat pagi hari atau sore hari agar mendapat suasana yang baik
9,0NE3mZ3RP3VQ7MT8jN6vk1vz0zK4Cw,Pertama ke candi borobudur bulan agustus bulan desember datang kembali Tidak pernah bosan ke candi borobudur melihat keindahan candi borobudur selalu bersyukur ,pertama ke candi borobudur bulan agustus bulan desember datang kembali tidak pernah bosan ke candi borobudur melihat keindahan candi borobudur selalu bersyukur ,"Pertama ke candi borobudur bulan agustus 2017 .. bulan desember 2017 datang kembali Tidak pernah bosan ke candi borobudur .. melihat keindahan candi borobudur selalu bersyukur ,,...",3,0,0,0,2,"Tidak pernah bosan ke candi borobudur .. melihat keindahan candi borobudur selalu bersyukur ,,... bulan desember 2017 datang kembali Tidak pernah bosan ke candi borobudur. melihat keindahan candi borobudur selalu bersyukur keindahan candi borobudur",none,none,none,Pertama ke candi borobudur bulan agustus 2017 .. bulan desember 2017 datang kembali Pertama ke candi borobudur bulan agustus 2017 Pertama ke candi borobudur bulan agustus 2017
